movie_id,trakt_id,title,year,rating,votes
107,475,Titanic,1997.0,7.78631,35599.0
108,203309,The Accountant,2016.0,7.69787,35617.0
109,114333,Star Wars: The Last Jedi,2017.0,7.14259,36960.0
110,196,The Godfather,1972.0,8.87562,33100.0
111,651,Shrek,2001.0,7.99372,34871.0
112,12496,Despicable Me,2010.0,7.78125,35296.0
113,851,The Prestige,2006.0,8.38695,33870.0
114,230,The Silence of the Lambs,1991.0,8.52889,33506.0
115,614,Home Alone,1990.0,7.80521,34900.0
116,127828,The Imitation Game,2014.0,8.09177,33779.0
117,595,V for Vendetta,2006.0,8.21534,33519.0
118,212307,Hacksaw Ridge,2016.0,8.30649,33075.0
119,254263,Split,2017.0,7.49285,34708.0
120,163375,Ex Machina,2015.0,7.72276,34043.0
121,5405,How to Train Your Dragon,2010.0,8.21944,32788.0
122,87348,X-Men: Days of Future Past,2014.0,7.78833,33614.0
123,295,Alien,1979.0,8.40245,32004.0
124,189952,Kong: Skull Island,2017.0,7.1693,34643.0
125,19,Kill Bill: Vol. 1,2003.0,8.13287,32286.0
126,224641,Dunkirk,2017.0,7.50753,33421.0
127,193968,Aquaman,2018.0,7.14521,33862.0
128,259852,The Batman,2022.0,7.67164,32607.0
129,293955,A Quiet Place,2018.0,7.6287,32647.0
130,209011,The Secret Life of Pets,2016.0,7.29071,33311.0
131,443,Die Hard,1988.0,8.27867,31047.0
132,40808,The Hobbit: The Desolation of Smaug,2013.0,7.80478,31902.0
133,390,The Green Mile,1999.0,8.6286,30312.0
134,1268,Star Wars: Episode I - The Phantom Menace,1999.0,6.95381,33750.0
135,300068,Bohemian Rhapsody,2018.0,8.06882,31297.0
136,700,Saving Private Ryan,1998.0,8.52683,30306.0
137,87254,Finding Dory,2016.0,7.54662,32130.0
138,223262,Ant-Man and the Wasp,2018.0,7.22718,32754.0
139,297485,Top Gun: Maverick,2022.0,8.18943,30718.0
140,516,Catch Me If You Can,2002.0,8.15447,30764.0
141,5407,Toy Story 3,2010.0,8.09135,30827.0
142,53002,World War Z,2013.0,7.14929,32782.0
143,242226,It,2017.0,7.43322,32053.0
144,34507,Man of Steel,2013.0,7.0906,32805.0
145,34093,Gravity,2013.0,7.48255,31928.0
146,47,Memento,2000.0,8.34987,30137.0
147,1270,Star Wars: Episode III - Revenge of the Sith,2005.0,7.71953,31308.0
148,11534,The Hangover,2009.0,7.68938,31170.0
149,304278,John Wick: Chapter 3 - Parabellum,2019.0,7.66738,30978.0
150,48,Blade Runner,1982.0,8.03556,30174.0
151,438,Spider-Man,2002.0,7.58005,31001.0
152,171149,The Hateful Eight,2015.0,7.71835,30719.0
153,94232,Justice League,2017.0,6.58661,33225.0
154,61864,Wreck-It Ralph,2012.0,7.77782,30502.0
155,149047,Whiplash,2014.0,8.44243,29223.0
156,952,The Departed,2006.0,8.35176,29361.0
157,236,Terminator 2: Judgment Day,1991.0,8.49957,29101.0
158,698292,Oppenheimer,2023.0,8.09286,29753.0
159,97,Spirited Away,2001.0,8.66874,28123.0
160,1302,The Amazing Spider-Man,2012.0,7.14527,30969.0
161,146856,Lucy,2014.0,6.79692,31554.0
162,54,Raiders of the Lost Ark,1981.0,8.30044,28541.0
